Rank,Name,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
303,Namco Museum: 50th Anniversary,Misc,2.08,1.35,0,0.54,3.98
304,EA Sports Active,Sports,2.1,1.36,0.06,0.4,3.92
305,Assassin's Creed: Unity,Action,1.18,1.96,0.08,0.7,3.92
306,Donkey Kong Land,Platform,1.97,0.76,1.07,0.11,3.91
307,Tony Hawk's Underground,Sports,2.29,1.17,0.01,0.42,3.9
308,Assassin's Creed IV: Black Flag,Action,1.33,1.71,0.13,0.73,3.89
309,Monster Hunter 4 Ultimate,Role-Playing,0.67,0.49,2.62,0.11,3.89
310,MotorStorm,Racing,1.53,1.61,0.06,0.67,3.88
311,The Elder Scrolls V: Skyrim,Role-Playing,1.15,2.09,0,0.64,3.88
312,Tekken 5,Fighting,0.93,1.94,0.31,0.7,3.87
313,Dragon Warrior III,Role-Playing,0.1,0,3.77,0,3.87
314,Sports Champions,Sports,2.12,1.14,0.1,0.51,3.87
315,NBA 2K16,Sports,2.48,0.65,0.03,0.69,3.85
316,World Soccer Winning Eleven 8 International,Sports,0.16,1.89,1.12,0.68,3.85
317,Flash Focus: Vision Training in Minutes a Day,Misc,0.87,1.57,1.05,0.35,3.84
318,Namco Museum Vol.1,Misc,2.12,1.44,0.22,0.06,3.84
319,The Legend of Zelda: Link's Awakening,Action,2.21,0.96,0.54,0.13,3.83
320,Mario & Luigi: Bowser's Inside Story,Role-Playing,2.26,0.48,0.81,0.27,3.83
321,Big Brain Academy: Wii Degree,Misc,1.06,1.93,0.41,0.43,3.82
322,Nintendogs + cats,Simulation,1.44,1.37,0.73,0.27,3.81
323,Batman: Arkham Knight,Action,1.49,1.58,0.1,0.61,3.79
324,Mario & Sonic at the London 2012 Olympic Games,Sports,1.14,1.91,0.27,0.46,3.78
325,LEGO Indiana Jones: The Original Adventures,Action,2.4,1.03,0,0.36,3.78
326,Resident Evil Director's Cut,Action,1.82,1.24,0.47,0.25,3.77
327,Ratchet & Clank: Size Matters,Platform,1.4,1.4,0.1,0.87,3.77
328,Just Dance 2014,Misc,1.98,1.47,0,0.32,3.76
329,The Sims: Unleashed,Simulation,2.03,1.56,0,0.17,3.76
330,Super Paper Mario,Platform,1.98,0.88,0.59,0.32,3.76
331,Harry Potter and the Sorcerer's Stone,Action,1.37,2,0.14,0.22,3.73
332,The Witcher 3: Wild Hunt,Role-Playing,0.96,2,0.21,0.56,3.73
333,Resident Evil 3: Nemesis,Action,1.3,0.77,1.54,0.11,3.72
334,Spyro: Year of the Dragon,Platform,1.93,1.58,0,0.19,3.71
335,FIFA Soccer 2005,Sports,0.58,2.48,0.04,0.59,3.7
336,Pokémon Trading Card Game,Strategy,1.49,0.73,1.38,0.1,3.7
337,Battlefield 4,Shooter,1.3,1.51,0.27,0.61,3.69
338,MySims,Simulation,1.59,1.61,0.08,0.41,3.69
339,Friend Collection,Misc,0,0,3.67,0,3.67
340,Tony Hawk's Pro Skater 4,Sports,2.13,1.18,0.01,0.35,3.67
341,Midnight Club 3: DUB Edition,Racing,1.65,1.22,0,0.79,3.66
342,Banjo-Kazooie,Platform,1.87,1.13,0.55,0.1,3.65
343,SOCOM: U.S. Navy SEALs,Shooter,2.53,0.81,0.06,0.24,3.65
344,Guitar Hero: World Tour,Misc,2.33,0.97,0,0.35,3.65
345,Gran Turismo 6,Racing,0.71,1.8,0.4,0.74,3.64
346,Jak and Daxter: The Precursor Legacy,Platform,2.08,1.09,0.15,0.33,3.64
347,Pokemon Snap,Simulation,2.23,0.68,0.66,0.06,3.63
348,FIFA Soccer 10,Sports,0.6,2.46,0.05,0.52,3.63
349,Pro Evolution Soccer 2008,Sports,0.05,0,0.64,2.93,3.63
350,Call of Duty: Ghosts,Shooter,1.78,1.42,0.05,0.38,3.63
351,Resident Evil 4,Action,2.08,0.83,0.46,0.25,3.62
352,Tom Clancy's The Division,Shooter,1.28,1.61,0.15,0.57,3.61
353,Star Wars: Battlefront,Shooter,1.93,1.22,0.03,0.44,3.61
354,Doom II: Hell on Earth,Shooter,2.05,1.4,0,0.16,3.61
355,The Simpsons: Road Rage,Racing,2.02,1.17,0,0.42,3.61
356,Cooking Mama 2: Dinner With Friends,Simulation,1.61,1.5,0.1,0.39,3.61
